simID	TRIALS	TIME	
0	3.0	0	
1	0.0	0	
2	3.0	0	
3	4.0	0	
4	4.0	0	
5	0.0	0	
6	3.0	0	
7	2.0	0	
8	0.0	0	
9	2.0	0	
10	0.0	0	
11	2.0	0	
12	0.0	0	
13	0.0	0	
14	2.0	0	
15	2.0	0	
16	3.0	0	
17	1.0	0	
18	1.0	0	
19	2.0	0	
20	1.0	0	
21	2.0	0	
22	2.0	0	
23	3.0	0	
24	0.0	0	
25	3.0	0	
26	1.0	0	
27	2.0	0	
28	4.0	0	
29	0.0	0	
30	3.0	0	
31	2.0	0	
32	0.0	0	
33	3.0	0	
34	3.0	0	
35	2.0	0	
36	1.0	0	
37	0.0	0	
38	3.0	0	
39	1.0	0	
40	2.0	0	
41	2.0	0	
42	2.0	0	
43	1.0	0	
44	3.0	0	
45	2.0	0	
46	0.0	0	
47	0.0	0	
48	3.0	0	
49	2.0	0	
50	0.0	0	
51	1.0	0	
52	3.0	0	
53	3.0	0	
54	2.0	0	
55	3.0	0	
56	2.0	0	
57	0.0	0	
58	5.0	0	
59	1.0	0	
0	1.0	1	
1	0.0	1	
2	0.0	1	
3	0.0	1	
4	0.0	1	
5	2.0	1	
6	1.0	1	
7	0.0	1	
8	0.0	1	
9	0.0	1	
10	1.0	1	
11	2.0	1	
12	0.0	1	
13	0.0	1	
14	0.0	1	
15	0.0	1	
16	3.0	1	
17	1.0	1	
18	5.0	1	
19	1.0	1	
20	4.0	1	
21	1.0	1	
22	3.0	1	
23	4.0	1	
24	2.0	1	
25	0.0	1	
26	0.0	1	
27	2.0	1	
28	1.0	1	
29	4.0	1	
30	1.0	1	
31	0.0	1	
32	2.0	1	
33	5.0	1	
34	1.0	1	
35	5.0	1	
36	4.0	1	
37	2.0	1	
38	2.0	1	
39	1.0	1	
40	3.0	1	
41	3.0	1	
42	0.0	1	
43	2.0	1	
44	3.0	1	
45	3.0	1	
46	2.0	1	
47	3.0	1	
48	2.0	1	
49	0.0	1	
50	2.0	1	
51	1.0	1	
52	5.0	1	
53	3.0	1	
54	0.0	1	
55	1.0	1	
56	0.0	1	
57	2.0	1	
58	3.0	1	
59	3.0	1	
0	1.0	2	
1	4.0	2	
2	1.0	2	
3	0.0	2	
4	1.0	2	
5	0.0	2	
6	2.0	2	
7	2.0	2	
8	0.0	2	
9	3.0	2	
10	0.0	2	
11	0.0	2	
12	3.0	2	
13	0.0	2	
14	2.0	2	
15	1.0	2	
16	2.0	2	
17	1.0	2	
18	2.0	2	
19	5.0	2	
20	4.0	2	
21	2.0	2	
22	5.0	2	
23	1.0	2	
24	0.0	2	
25	1.0	2	
26	4.0	2	
27	3.0	2	
28	1.0	2	
29	1.0	2	
30	2.0	2	
31	1.0	2	
32	0.0	2	
33	1.0	2	
34	2.0	2	
35	4.0	2	
36	0.0	2	
37	4.0	2	
38	0.0	2	
39	0.0	2	
40	1.0	2	
41	0.0	2	
42	3.0	2	
43	0.0	2	
44	0.0	2	
45	2.0	2	
46	1.0	2	
47	2.0	2	
48	0.0	2	
49	3.0	2	
50	0.0	2	
51	1.0	2	
52	3.0	2	
53	1.0	2	
54	1.0	2	
55	0.0	2	
56	0.0	2	
57	5.0	2	
58	3.0	2	
59	0.0	2	
